49 	 # Number of sensors 
# x z 
0.00 10.73 
2.00 10.69 
4.59 10.63 
6.40 10.38 
8.30 9.89 
10.15 9.84 
12.39 9.39 
14.22 8.99 
16.10 8.67 
17.95 8.38 
19.83 8.10 
21.79 7.91 
23.84 7.72 
25.78 7.44 
27.88 7.20 
29.85 6.73 
31.94 6.63 
33.94 6.38 
35.82 6.18 
37.81 5.45 
39.78 5.41 
41.78 5.40 
43.76 5.34 
45.86 5.01 
47.73 4.73 
49.72 4.43 
51.82 4.05 
53.55 3.69 
55.51 3.49 
57.67 3.06 
59.14 2.69 
61.66 2.38 
63.36 2.27 
65.65 1.77 
67.39 1.49 
69.53 1.02 
71.52 0.77 
73.32 0.42 
75.24 0.25 
77.27 0.00 
79.17 0.16 
81.26 0.27 
83.24 0.35 
85.27 0.39 
87.30 0.31 
89.21 0.36 
91.30 0.17 
93.28 0.29 
95.30 0.41 
529 	 # Number of measurements 
# a b m n u i err
13 26 19 20 25.419 0.428  0.01
13 24 18 19 19.379 0.470  0.01
13 22 17 18 29.580 0.420  0.01
13 20 16 17 40.108 0.432  0.01
13 18 15 16 63.381 0.310  0.01
13 16 14 15 181.818 0.423  0.01
14 49 31 32 19.442 2.529  0.01
14 47 30 31 20.390 2.327  0.01
14 45 29 30 20.097 1.941  0.01
14 43 28 29 20.212 1.545  0.01
14 41 27 28 20.218 2.604  0.01
14 39 26 27 20.676 1.109  0.01
14 37 25 26 21.098 1.410  0.01
14 35 24 25 20.774 1.254  0.01
14 33 23 24 20.644 1.124  0.01
14 31 22 23 20.975 0.949  0.01
14 29 21 22 21.496 0.962  0.01
14 27 20 21 19.805 0.648  0.01
14 25 19 20 23.375 0.307  0.01
14 23 18 19 19.465 0.367  0.01
14 21 17 18 35.375 0.375  0.01
14 19 16 17 24.049 0.141  0.01
14 17 15 16 132.803 0.334  0.01
15 48 31 32 19.980 2.298  0.01
15 46 30 31 20.348 2.055  0.01
15 44 29 30 20.609 1.731  0.01
15 42 28 29 20.714 1.386  0.01
15 40 27 28 20.138 2.279  0.01
15 38 26 27 19.293 0.873  0.01
15 36 25 26 22.443 1.259  0.01
15 34 24 25 19.277 0.981  0.01
15 32 23 24 19.458 0.882  0.01
15 30 22 23 20.612 0.752  0.01
15 28 21 22 19.299 0.663  0.01
15 26 20 21 18.756 0.442  0.01
15 24 19 20 32.619 0.329  0.01
15 22 18 19 22.589 0.300  0.01
15 20 17 18 46.078 0.315  0.01
15 18 16 17 87.408 0.242  0.01
16 49 32 33 20.221 2.877  0.01
16 47 31 32 19.643 2.012  0.01
16 45 30 31 19.916 1.774  0.01
16 43 29 30 19.023 1.405  0.01
16 41 28 29 19.795 1.149  0.01
16 39 27 28 19.792 1.926  0.01
16 37 26 27 20.536 0.804  0.01
16 35 25 26 20.132 0.944  0.01
16 33 24 25 20.380 0.865  0.01
16 31 23 24 21.868 0.809  0.01
16 29 22 23 22.020 0.633  0.01
16 27 21 22 21.385 0.591  0.01
16 25 20 21 19.821 0.345  0.01
16 23 19 20 38.713 0.280  0.01
16 21 18 19 50.847 0.434  0.01
16 19 17 18 42.769 0.103  0.01
17 48 32 33 21.420 2.748  0.01
17 46 31 32 20.892 1.903  0.01
17 44 30 31 20.329 1.593  0.01
17 42 29 30 20.259 1.322  0.01
17 40 28 29 18.546 0.954  0.01
17 38 27 28 19.868 1.636  0.01
17 36 26 27 20.959 0.691  0.01
17 34 25 26 21.261 0.844  0.01
17 32 24 25 20.886 0.744  0.01
17 30 23 24 22.707 0.677  0.01
17 28 22 23 19.821 0.429  0.01
17 26 21 22 20.905 0.413  0.01
17 24 20 21 35.903 0.458  0.01
17 22 19 20 90.205 0.408  0.01
17 20 18 19 101.748 0.439  0.01
18 49 33 34 19.493 2.406  0.01
18 47 32 33 20.081 2.279  0.01
18 45 31 32 19.426 1.569  0.01
18 43 30 31 19.226 1.330  0.01
18 41 29 30 20.040 1.140  0.01
18 39 28 29 19.900 0.882  0.01
18 37 27 28 20.549 1.473  0.01
18 35 26 27 22.367 0.620  0.01
18 33 25 26 21.680 0.710  0.01
18 31 24 25 20.361 0.577  0.01
18 29 23 24 19.376 0.448  0.01
18 27 22 23 23.019 0.396  0.01
