72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
35 44 38 41 3018.967 3.270  0.01
35 41 37 39 3017.555 2.232  0.01
35 38 36 37 3015.963 1.068  0.01
36 48 40 44 3035.243 3.796  0.01
36 45 39 42 3016.999 3.106  0.01
36 42 38 40 3018.827 2.189  0.01
36 39 37 38 3051.516 1.063  0.01
37 46 40 43 3051.201 2.933  0.01
37 43 39 41 2991.180 2.065  0.01
37 40 38 39 2968.396 0.882  0.01
38 47 41 44 3066.317 3.015  0.01
38 44 40 42 3024.892 2.000  0.01
38 41 39 40 3056.983 1.092  0.01
39 48 42 45 3005.361 2.988  0.01
39 45 41 43 3029.880 2.189  0.01
39 42 40 41 2990.353 0.873  0.01
40 46 42 44 3091.221 2.268  0.01
40 43 41 42 3066.419 1.049  0.01
41 47 43 45 3108.434 2.198  0.01
41 44 42 43 3050.302 1.078  0.01
42 48 44 46 3104.931 2.346  0.01
42 45 43 44 2984.275 1.163  0.01
43 46 44 45 3007.539 1.130  0.01
44 47 45 46 2975.304 1.273  0.01
45 48 46 47 2932.745 1.392  0.01
25 70 40 55 278.661 4.238  0.01
25 67 39 53 425.489 5.283  0.01
25 64 38 51 493.283 4.559  0.01
25 61 37 49 667.669 4.748  0.01
25 58 36 47 823.474 4.525  0.01
25 55 35 45 1539.030 6.421  0.01
25 52 34 43 2269.501 8.014  0.01
25 49 33 41 2531.505 8.157  0.01
26 71 41 56 248.232 3.880  0.01
26 68 40 54 383.483 4.795  0.01
26 65 39 52 520.040 5.139  0.01
26 62 38 50 689.536 5.145  0.01
26 59 37 48 927.746 5.091  0.01
26 56 36 46 1316.747 5.646  0.01
26 53 35 44 2189.342 7.470  0.01
26 50 34 42 2685.136 8.235  0.01
27 72 42 57 317.202 5.183  0.01
